Titulo,Tipo,FechaEstrenoTexto,FechaOrden,IMDbURL,Imagen,Franquicia
The Fantastic Four: First Steps,PELICULA,25 de Julio de 2025,2025-07-25,https://www.imdb.com/title/tt10676052/,,Marvel
Ironheart,SERIE,3 de Septiembre de 2025,2025-09-03,https://www.imdb.com/title/tt13623126/,,Marvel
Blade,PELICULA,7 de Noviembre de 2025,2025-11-07,https://www.imdb.com/title/tt10671440/,,Marvel
WONDER MAN,PELICULA,27 de Enero de 2026,2026-01-27,https://www.imdb.com/title/tt21066182/reference/?ref_=ext_shr_lnk,,Marvel
SPIDER-MAN: BRAND NEW DAY,PELICULA,31 de Julio de 2026,2026-07-31,https://www.imdb.com/title/tt22084616/reference/?ref_=fn_all_ttl_1,,Marvel
AVENGERS: DOOMSDAY,PELICULA,18 de Diciembre de 2026,2026-12-18,https://www.imdb.com/title/tt21357150/reference/,,Marvel
AVENGERS SECRET WARS,PELICULA,17 de Diciembre de 2027,2027-12-17,https://www.imdb.com/title/tt21361444/reference/,,Marvel
CREATURE COMMANDOS: TEMPORADA 2,SERIE,Finales de 2025,2025-12-31,https://www.imdb.com/title/tt26545355/episodes/?season=2&ref_=ttrv_ov_epl_sn,,DC
SUPERMAN,PELICULA,11 de Julio de 2025,2025-07-11,https://www.imdb.com/title/tt1099212/,,DC
SUPERGIRL WOMAN OF TOMORROW,PELICULA,26 de Junio de 2026,2026-06-26,https://www.imdb.com/title/tt26545593/,,DC
CLAYFACE,PELICULA,11 de Septiembre de 2026,2026-09-11,https://www.imdb.com/title/tt34890576/reference/?ref_=fn_all_ttl_1,,DC
LANTERNS,SERIE,Durante 2026,2026-06-01,https://www.imdb.com/title/tt26545992/reference/?ref_=nm_ov_bio_lk,,DC
BLUE BEETLE,SERIE,Durante 2026,2026-06-01,https://www.imdb.com/title/tt32621773/reference/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_blue%2520beetle%2520,,DC
THE BATMAN 2,PELICULA,2 de Octubre de 2026,2026-10-02,https://www.imdb.com/title/tt19850008/reference/,,DC
DYNAMIC DUO,PELICULA,Durante 2028,2028-06-01,https://www.imdb.com/title/tt33549695/reference/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_dynamic%2520duo,,DC
BATMAN THE BRAVE & THE BOLD,PELICULA,Sin Fecha,2029-01-01,https://www.imdb.com/title/tt19850008/reference/,,DC
BLACK CANARY,PELICULA,Sin Fecha,2029-01-01,https://www.imdb.com/title/tt15268188/reference/,,DC
ZATANNA,PELICULA,Sin Fecha,2029-01-01,https://www.imdb.com/title/tt14299920/reference/?ref_=tt_mv_close,,DC
